coefficients,signature,discriminant,gal_group,disc_ratio,ring_int
"[1, -9, 5, -2, -2]",[1],-646472,S_4,1,True
"[1, 19, 19, 21, 16]",[1],-349381168,S_4,1/4,False
"[1, -24, 26, -22, 28]",[1],-3534548528,S_4,1/4,False
"[1, -31, 7, -15, -8]",[1],-2337223468,S_4,1,True
"[1, 22, 1, -13, -2]",[1],73085033,S_4,1,True
"[1, 13, 15, 2, 10]",[1],-51163816,S_4,1,True
"[1, 13, 20, 7, 13]",[1],-60558408,S_4,1/9,False
"[1, -1, 18, 21, -31]",[1],-162861772,S_4,1/4,False
"[1, 21, -26, -23, 6]",[1],1473882089,S_4,1,True
"[1, -24, 19, 21, -31]",[1],-3481041223,S_4,1,True
"[1, 15, 5, 24, 7]",[1],-193729959,S_4,1,True
"[1, 25, -18, -21, 24]",[1],-3021043311,S_4,1,True
"[1, -8, 1, -31, -23]",[1],-164403151,S_4,1,True
"[1, -10, 21, -5, 7]",[1],-4271647,S_4,1,True
"[1, 11, 1, -12, 11]",[1],-37990599,S_4,1,True
"[1, 20, -12, 18, 30]",[1],-5780478384,S_4,1,True
"[1, 16, 31, 7, -5]",[1],25270313,S_4,1,True
"[1, -5, -24, 15, 30]",[1],188225505,S_4,1,True
"[1, 20, -10, 20, 9]",[1],-961150976,S_4,1/64,False
"[1, -20, 0, 12, 12]",[1],-564413184,S_4,1/16,False
"[1, -12, -13, -32, -6]",[1],-230984672,S_4,1,True
"[1, 3, -27, 2, -9]","[0, 1]",-89898903,S_4,1,True
"[1, -12, 17, -18, -31]",[1],-406767664,S_4,1,True
"[1, -32, -6, -18, 22]",[1],-16427161904,S_4,1,True
"[1, 26, 9, -16, 2]",[1],145777216,S_4,1,True
"[1, 17, 17, -30, -13]",[1],655091161,S_4,1,True
"[1, 13, 1, 16, 20]",[1],-341612096,S_4,1/16,False
"[1, -3, -10, -32, -1]",[2],-42316875,S_4,1/225,False
"[1, -31, 16, -3, 3]",[1],-178527348,S_4,1/9,False
"[1, 26, 6, 32, -25]",[1],-11031999152,S_4,1/4,False
"[1, -30, 27, 5, 14]",[1],-5256101479,S_4,1,True
"[1, 30, 26, 12, -24]",[1],-12657965568,S_4,1/64,False
"[1, 0, -23, 30, -11]",[1],-3065904,S_4,1/9,False
"[1, 15, 10, 30, 12]",[1],-293244432,S_4,1/4,False
"[1, -20, 27, -29, -16]",[1],-2059703951,S_4,1,True
"[1, -17, -28, -31, 23]",[1],-4319676700,S_4,1/100,False
"[1, -17, 21, -6, -2]",[1],-5461016,S_4,1,True
"[1, -17, 3, 31, -1]",[3],542660917,S_4,1,True
"[1, 1, 0, 22, -31]",[1],-17989187,S_4,1,True
"[1, 18, 18, -4, 10]",[1],-315147200,S_4,1,True
"[1, 26, -20, -6, -3]",[1],-301401792,S_4,1,True
"[1, -22, -31, 9, -29]",[1],-11202858911,S_4,1,True
"[1, 11, 10, 29, 20]",[1],-116393423,S_4,1,True
"[1, 31, -14, 26, -8]",[1],-2225383264,S_4,1/4,False
"[1, 15, 25, 18, 15]","[1, 0]",-69674727,S_4,1,True
"[1, -10, -22, 27, -1]","[0, 2]",181656949,S_4,1,True
"[1, -21, 20, -4, -28]",[1],-3153807792,S_4,1/36,False
"[1, -26, 18, 24, -28]",[1],-3492514048,S_4,1/16,False
"[1, 13, 23, 22, -13]",[1],-148423103,S_4,1,True
"[1, -30, -9, -32, 17]",[1],-12916773328,S_4,1,True
"[1, -14, -17, 21, -31]",[1],-2145711519,S_4,1/9,False
"[1, -10, 15, -19, -25]",[1],-131065367,S_4,1,True
