,coefficients,signature,discriminant,number,type_i,source,type_II,gal_group,type_I,disc_ratio,is_OK
28,"[1, -5, 1, -5, -3]","[1, 1]",-265387,2,False,df8,False,S_4,,1,True
29,"[1, -5, 2, 3, 8]","[1, 1]",-393527,2,False,df8,False,S_4,,1,True
30,"[1, -5, 2, 4, 2]","[1, 1]",-28556,2,False,df8,False,S_4,,1,True
31,"[1, -5, 2, 6, 2]","[1, 1]",-5036,2,False,df8,False,S_4,,1,True
32,"[1, -5, 2, 8, -2]","[1, 1]",75348,2,False,df8,False,S_4,,1,True
33,"[1, -5, 3, -5, -2]","[1, 1]",-135648,2,False,df8,False,S_4,,1/4,False
34,"[1, -5, 3, -1, -6]","[1, 1]",-362336,2,False,df8,False,S_4,,1/4,False
35,"[1, -5, 3, 2, 3]","[1, 1]",-58703,2,False,df8,False,S_4,,1,True
36,"[1, -5, 4, -8, -2]","[1, 1]",-315436,2,False,df8,False,S_4,,1,True
37,"[1, -5, 4, -2, -4]","[1, 1]",-138848,2,False,df8,False,S_4,,1/4,False
38,"[1, -5, 4, -1, -2]","[1, 1]",-25447,2,False,df8,False,S_4,,1,True
39,"[1, -5, 4, 1, 8]","[1, 1]",-132527,2,False,df8,False,S_4,,1,True
40,"[1, -5, 5, -3, -2]","[1, 1]",-37040,2,False,df8,False,S_4,,1/4,False
41,"[1, -5, 5, -3, 4]","[1, 1]",-39788,2,False,df8,False,S_4,,1,True
42,"[1, -5, 6, -6, -2]","[1, 1]",-88556,2,False,df8,False,S_4,,1,True
43,"[1, -3, 1, -6, -7]","[1, 1]",-386431,2,False,df8,False,S_4,,1,True
44,"[1, -3, 1, -2, 5]","[1, 1]",-18959,2,False,df8,True,S_4,,1,True
45,"[1, -3, 1, 5, 2]","[1, 1]",1492,2,False,df8,False,S_4,,1,True
46,"[1, -3, 1, 7, -4]","[1, 1]",-24908,2,False,df8,False,S_4,,1,True
47,"[1, -3, 2, -6, 2]","[1, 1]",-30124,2,False,df8,False,S_4,,1,True
48,"[1, -3, 2, 2, 2]","[1, 1]",7572,2,False,df8,False,S_4,,1,True
49,"[1, -3, 2, 3, 6]","[1, 1]",123729,2,False,df8,False,S_4,,1,True
50,"[1, -3, 3, 3, -6]","[1, 1]",-12204,2,False,df8,False,S_4,,1,True
51,"[1, -3, 4, -6, 2]","[1, 1]",-5260,2,False,df8,False,S_4,,1,True
52,"[1, -3, 4, -2, 4]","[1, 1]",13472,2,False,df8,False,S_4,,1/4,False
53,"[1, -3, 4, 1, 6]","[1, 1]",135209,2,False,df8,False,S_4,,1,True
54,"[1, -3, 4, 6, 3]","[1, 1]",80085,2,False,df8,True,S_4,,1,True
55,"[1, -3, 5, -4, -8]","[1, 1]",-224528,2,False,df8,False,S_4,,1/4,False
56,"[1, -3, 5, 3, -2]","[1, 1]",-44208,2,False,df8,False,S_4,,1/4,False
57,"[1, -3, 5, 6, 5]","[1, 1]",320321,2,False,df8,True,S_4,,1,True
58,"[1, -3, 6, -4, 4]","[1, 1]",5584,2,False,df8,False,S_4,,1/4,False
59,"[1, -3, 6, 1, 2]","[1, 1]",46481,2,False,df8,False,S_4,,1,True
60,"[1, -3, 6, 4, -4]","[1, 1]",-188464,2,False,df8,False,S_4,,1/4,False
61,"[1, -3, 7, -7, -3]","[1, 1]",-98443,2,False,df8,False,S_4,,1,True
62,"[1, -3, 7, 0, -7]","[1, 1]",-240247,2,False,df8,False,S_4,,1,True
63,"[1, -3, 8, -5, 6]","[1, 1]",41209,2,False,df8,False,A_4,,1,True
64,"[1, -2, -8, -4, -3]","[1, 1]",-158384,2,False,df8,False,S_4,,1/4,False
65,"[1, -2, -8, -3, 4]","[1, 1]",-87979,2,False,df8,False,S_4,,1,True
66,"[1, -2, -8, 5, 7]","[1, 1]",323261,2,False,df8,False,S_4,,1,True
67,"[1, -2, -8, 8, -8]","[1, 1]",-1297408,2,False,df8,True,S_4,,1/64,False
68,"[1, -2, -8, 8, -7]","[1, 1]",-1012144,2,False,df8,True,S_4,,1/4,False
69,"[1, -2, -8, 8, -6]","[1, 1]",-757952,2,False,df8,True,S_4,,1,True
70,"[1, -2, -8, 8, -5]","[1, 1]",-533296,2,False,df8,True,S_4,,1,True
71,"[1, -2, -8, 8, -4]","[1, 1]",-336640,2,False,df8,True,S_4,,1/16,False
72,"[1, -2, -8, 8, -3]","[1, 1]",-166448,2,False,df8,True,S_4,,1/4,False
73,"[1, -2, -8, 8, -2]","[1, 1]",-21184,2,False,df8,True,S_4,,1,True
74,"[1, -2, -8, 8, 3]","[1, 1]",384976,2,False,df8,True,S_4,,1,True
75,"[1, -2, -8, 8, 5]","[1, 1]",426704,2,False,df8,True,S_4,,1/4,False
76,"[1, -2, -8, 8, 6]","[1, 1]",427840,2,False,df8,True,S_4,,1,True
77,"[1, -2, -7, 7, -6]","[1, 1]",-567239,2,False,df8,True,S_4,,1,True
78,"[1, -2, -7, 7, -5]","[1, 1]",-400143,2,False,df8,True,S_4,,1,True
79,"[1, -2, -7, 7, -4]","[1, 1]",-256823,2,False,df8,True,S_4,,1,True
80,"[1, -2, -7, 7, -2]","[1, 1]",-35367,2,False,df8,True,S_4,,1,True
81,"[1, -2, -7, 7, 4]","[1, 1]",218121,2,False,df8,True,S_4,,1,True
82,"[1, -2, -6, -3, 4]","[1, 1]",-152483,2,False,df8,False,S_4,,1,True
83,"[1, -2, -6, 6, -6]","[1, 1]",-415152,2,False,df8,True,S_4,,1,True
84,"[1, -2, -6, 6, -5]","[1, 1]",-291776,2,False,df8,True,S_4,,1,True
85,"[1, -2, -6, 6, -3]","[1, 1]",-103680,2,False,df8,True,S_4,,1/16,False
86,"[1, -2, -5, -3, 4]","[1, 1]",-144175,2,False,df8,False,S_4,,1,True
87,"[1, -2, -5, 5, -8]","[1, 1]",-536335,2,False,df8,True,S_4,,1,True
88,"[1, -2, -5, 5, -5]","[1, 1]",-207175,2,False,df8,True,S_4,,1,True
