,coefficients,signature,discriminant,number,type_i,source,type_II,gal_group,type_I,disc_ratio,is_OK
286,"[1, 6, 7, -7, 5]","[1, 1]",110425,2,False,df8,True,S_4,,1,True
287,"[1, 6, 7, -7, 6]","[1, 1]",169649,2,False,df8,True,S_4,,1,True
288,"[1, 6, 7, -7, 8]","[1, 1]",335809,2,False,df8,True,S_4,,1,True
289,"[1, 6, 8, -4, 3]","[1, 1]",45904,2,False,df8,True,S_4,,1,True
290,"[1, 6, 8, -4, 6]","[1, 1]",188224,2,False,df8,True,S_4,,1,True
291,"[1, 6, 8, -4, 7]","[1, 1]",263632,2,False,df8,True,S_4,,1,True
292,"[1, 6, 8, -4, 8]","[1, 1]",355584,2,False,df8,True,S_4,,1/64,False
293,"[1, 7, 1, -7, 7]","[1, 1]",-2251291,2,False,df8,False,S_4,,1,True
294,"[1, 7, 2, 3, -4]","[1, 1]",-1047311,2,False,df8,False,S_4,,1,True
295,"[1, 7, 4, -2, 4]","[1, 1]",-705568,2,False,df8,False,S_4,,1/4,False
296,"[1, 7, 4, 1, -4]","[1, 1]",-686951,2,False,df8,False,S_4,,1,True
297,"[1, 7, 4, 7, 2]","[1, 1]",-295823,2,False,df8,False,S_4,,1,True
298,"[1, 7, 6, 7, -2]","[1, 1]",-629127,2,False,df8,True,S_4,,1/9,False
299,"[1, 8, -8, -2, 5]","[1, 1]",-2555056,2,False,df8,False,S_4,,1/196,False
300,"[1, 8, 7, 1, 5]","[1, 1]",-1392583,2,False,df8,False,S_4,,1,True
301,"[1, 8, 7, 7, -7]","[1, 1]",-5007751,2,False,df8,False,S_4,,1,True
302,"[1, 8, 8, -3, -2]","[1, 1]",190453,2,False,df8,False,S_4,,1,True
303,"[1, 8, 8, 3, -4]","[1, 1]",-977675,2,False,df8,False,S_4,,1,True
304,"[1, 7, 15, 15, 8]","[1, 1]",-13036,2,False,df16,False,S_4,,1,True
305,"[1, 2, 3, 1, -13]","[1, 1]",-606447,2,False,df16,True,S_4,,1,True
306,"[1, 2, -7, -9, -12]","[1, 1]",-1813119,2,False,df16,True,S_4,,1,True
307,"[1, 12, 15, 13, 13]","[1, 1]",-26613743,2,False,df16,False,S_4,,1,True
308,"[1, -2, -13, 13, -7]","[1, 1]",-3197399,2,False,df16,True,S_4,,1,True
309,"[1, -4, 1, -9, 4]","[1, 1]",-434983,2,False,df16,False,S_4,,1,True
310,"[1, 2, 12, 10, 16]","[1, 1]",684752,2,False,df16,True,S_4,,1/4,False
311,"[1, 6, 7, -5, 13]","[1, 1]",575825,2,False,df16,True,S_4,,1,True
312,"[1, 0, -6, 1, -15]","[1, 1]",-2198043,2,False,df16,True,S_4,,1,True
313,"[1, 0, 16, 1, 10]","[1, 1]",7471589,2,False,df16,True,S_4,,1,True
314,"[1, -2, -8, 8, 11]","[1, 1]",297680,2,False,df16,True,S_4,,1,True
315,"[1, 3, 0, -8, -2]","[1, 1]",-40748,2,False,df16,False,S_4,,1,True
316,"[1, 2, 3, 3, -14]","[1, 1]",-921983,2,False,df16,True,S_4,,1,True
317,"[1, -2, -7, 7, -2]","[1, 1]",-35367,2,False,df16,True,S_4,,1,True
318,"[1, -3, -11, -10, -7]","[1, 1]",-686951,2,False,df16,False,S_4,,1,True
319,"[1, 0, 11, 1, -4]","[1, 1]",-1212903,2,False,df16,True,S_4,,1/9,False
320,"[1, 2, 8, 8, 11]","[1, 1]",14032,2,False,df16,True,S_4,,1,True
321,"[1, -9, 10, 16, 2]","[1, 1]",2673364,2,False,df16,False,S_4,,1,True
322,"[1, 2, 6, 6, 11]","[1, 1]",48704,2,False,df16,True,S_4,,1,True
323,"[1, -4, -1, 9, -8]","[1, 1]",-174239,2,False,df16,True,S_4,,1,True
324,"[1, 4, 4, 8, 2]","[1, 1]",-62464,2,False,df16,False,S_4,,1,True
325,"[1, 4, 9, 11, -8]","[1, 1]",-779719,2,False,df16,True,S_4,,1,True
326,"[1, -7, 12, -15, 6]","[1, 1]",-176823,2,False,df16,False,S_4,,1,True
327,"[1, -4, 7, -5, 15]","[1, 1]",679585,2,False,df16,True,S_4,,1,True
328,"[1, 0, 10, -1, -5]","[1, 1]",-1163227,2,False,df16,True,S_4,,1/169,False
329,"[1, 4, 2, -5, -8]","[1, 1]",-63003,2,False,df16,True,S_4,,1,True
330,"[1, 2, 10, 8, 3]","[1, 1]",93392,2,False,df16,True,S_4,,1/4,False
331,"[1, 2, -12, -12, 7]","[1, 1]",3201232,2,False,df16,True,S_4,,1,True
332,"[1, -4, -2, 13, 13]","[1, 1]",112229,2,False,df16,True,S_4,,1,True
333,"[1, 2, 14, 14, -4]","[1, 1]",-4322864,2,False,df16,True,S_4,,1/4,False
334,"[1, 0, -7, 13, -5]","[1, 1]",-68399,2,False,df16,False,S_4,,1,True
335,"[1, 0, -14, 1, -5]","[1, 1]",-3711451,2,False,df16,True,S_4,,1,True
336,"[1, 4, 1, -7, 12]","[1, 1]",491161,2,False,df16,True,S_4,,1,True
337,"[1, -12, -2, 10, -4]","[1, 1]",-4343216,2,False,df16,True,S_4,,1/4,False
338,"[1, -2, 1, -1, 5]","[1, 1]",23297,2,False,df16,True,S_4,,1,True
339,"[1, -2, 12, -12, -14]","[1, 1]",-8841920,2,False,df16,True,S_4,,1,True
340,"[1, 7, 11, -7, -14]","[1, 1]",75348,2,False,df32,False,S_4,,1,True
341,"[1, -1, 1, -16, -11]","[1, 1]",-2804503,2,False,df32,False,S_4,,1,True
342,"[1, 0, 22, 1, 7]","[1, 1]",23268389,2,False,df32,True,S_4,,1,True
343,"[1, 0, -28, 1, -25]","[1, 1]",-312393819,2,False,df32,True,S_4,,1,True
344,"[1, -8, -17, -29, -19]","[1, 1]",-40135223,2,False,df32,False,S_4,,1,True
345,"[1, -12, 4, 17, 4]","[1, 1]",13150277,2,False,df32,False,S_4,,1/49,False
346,"[1, 2, -20, -20, 7]","[1, 1]",32553680,2,False,df32,True,S_4,,1,True
347,"[1, -8, 14, 9, 17]","[1, 1]",3508645,2,False,df32,True,S_4,,1,True
348,"[1, -6, 11, -5, -12]","[1, 1]",-332831,2,False,df32,True,S_4,,1,True
349,"[1, -6, 11, -7, 13]","[1, 1]",336145,2,False,df32,True,S_4,,1,True
350,"[1, -6, 2, 20, -19]","[1, 1]",91344,2,False,df32,True,S_4,,1,True
351,"[1, -5, -20, -54, -59]","[1, 1]",-213727531,2,False,df64,False,S_4,,1,True
352,"[1, 0, 4, 0, 2]","[1, 1]",2048,2,,df8,False,C_4,False,1,True
