coefficients,signature,discriminant,gal_group,disc_ratio,ring_int
"[1, 8, 15, 16, 12]",[1],-640832,S_4,1/16,False
"[1, -2, 9, 0, 2]",[1],166208,S_4,1,True
"[1, -8, 14, -6, -11]",[1],-2163632,S_4,1,True
"[1, 16, -9, 15, 11]",[1],-445065943,S_4,1,True
"[1, -6, -2, -8, -10]",[1],-5332928,S_4,1,True
"[1, 3, 11, 1, -15]",[2],-4229291,S_4,1,True
"[1, -12, -2, 12, 2]","[4, 2]",11186432,S_4,1,True
"[1, -13, 11, -3, 5]",[2],-11826875,S_4,1/625,False
"[1, 14, -16, 9, -14]",[1],-229391627,S_4,1,True
"[1, 15, 9, -2, 16]",[1],-298459148,S_4,1/4,False
"[1, -4, 14, 5, -7]",[1],-5233979,S_4,1,True
"[1, 9, -6, -5, 3]",[1],123336,S_4,1,True
"[1, -9, 9, -14, 7]",[1],-3414551,S_4,1,True
"[1, 15, 10, -6, 10]",[1],-137237292,S_4,1,True
"[1, 0, 1, 9, 4]",[1],-116415,S_4,1,True
"[1, -16, 3, -4, -13]",[1],-294479888,S_4,1,True
"[1, 6, 0, -14, -2]",[1],1340752,S_4,1,True
"[1, 5, 0, 16, -14]",[1],-10300396,S_4,1,True
"[1, -12, -10, 3, -6]",[1],-39097563,S_4,1,True
"[1, 7, 8, 15, 14]",[2],-3786191,S_4,1,True
"[1, 15, 15, -1, 16]",[1],-276931436,S_4,1,True
"[1, 13, 6, -12, 15]",[1],-159310395,S_4,1,True
"[1, 6, 2, -8, 13]",[1],-2460464,S_4,1,True
"[1, 9, 10, 15, -1]",[2],-5856808,S_4,1,True
"[1, 2, -3, 9, -5]","[2, 1]",-208463,S_4,1,True
"[1, 15, -10, 14, -4]",[1],-29528976,S_4,1/4,False
"[1, -3, 14, 9, -8]",[2],-10074735,S_4,1,True
"[1, -12, 2, 15, -14]",[1],-60877323,S_4,1,True
"[1, 11, -6, 12, 16]",[1],-180982976,S_4,1/64,False
"[1, -11, -11, 14, -10]",[1],-90143224,S_4,1,True
"[1, 8, -14, -4, -2]",[1],-4999936,S_4,1,True
"[1, -7, 5, -7, -16]",[1],-14115488,S_4,1/4,False
"[1, -14, 12, 1, -3]",[1],-2044723,S_4,1,True
"[1, 2, -5, -11, 12]",[2],-240887,S_4,1,True
"[1, 16, 3, -2, -12]",[1],-233068576,S_4,1/4,False
"[1, -14, 5, 11, -5]",[2],4052169,A_4,1/121,False
"[1, -1, 6, 1, -8]","[3, 2]",-549103,S_4,1,True
"[1, -10, 1, -13, -6]","[0, 1]",-20184439,S_4,1,True
"[1, 9, 0, -2, 2]",[1],-673708,S_4,1,True
"[1, -4, 12, -14, 8]",[1],34128,S_4,1/4,False
"[1, 13, 14, 12, 2]",[1],-2631884,S_4,1,True
"[1, -10, 16, -1, 15]",[1],-23416531,S_4,1,True
"[1, -6, -13, -3, -12]",[1],-23042631,S_4,1,True
"[1, 12, -15, 13, -10]",[2],-42237031,S_4,1,True
"[1, -9, 13, 3, 3]",[1],-1474251,S_4,1,True
"[1, 14, 7, 3, -12]",[1],-131282199,S_4,1,True
"[1, 11, -2, -15, -2]",[2],15361193,S_4,1,True
"[1, 10, 5, 7, 7]",[1],-8268519,S_4,1,True
"[1, -10, -2, 14, -13]",[1],-40508864,S_4,1,True
"[1, 8, -12, 8, 11]",[1],-41964800,S_4,1/64,False
"[1, 8, 3, 13, 10]",[1],-11522407,S_4,1,True
"[1, -4, 11, 5, 8]",[1],2928769,S_4,1,True
"[1, 12, -6, -9, -14]",[1],-153307211,S_4,1,True
"[1, 1, -4, 6, -15]",[1],-1390611,S_4,1,True
"[1, -16, 9, 9, -6]",[1],-5670783,S_4,1,True
"[1, -9, 8, -10, -12]",[1],-24421472,S_4,1/4,False
"[1, 5, -3, 7, 13]",[2],-7018267,S_4,1,True
"[1, -3, -5, -12, -14]",[1],-2718180,S_4,1,True
"[1, 9, 16, -5, -4]","[0, 1, 0]",1326577,S_4,1,True
"[1, 0, 7, -2, 7]",[1],71696,S_4,1/16,False
"[1, 8, 2, -9, 14]",[1],-15761531,S_4,1,True
"[1, 0, -13, 8, -2]",[1],-311072,S_4,1,True
