coefficients,signature,discriminant,type_I,2-monogen,number
"[1, 0, 1, -1, 4]","[1, 1, 1, 0]",14945,False,True,3
"[1, 0, 1, -1, 5]","[0, 1, 1]",29569,False,True,2
"[1, 0, 1, -1, 6]","[1, 1]",51617,False,True,2
"[1, 0, 1, -1, 7]","[0, 1, 1]",82625,False,True,2
"[1, 0, 1, -1, 8]","[1, 1]",124129,False,True,2
"[1, 0, 2, -3, 3]","[1, 1]",8373,False,True,2
"[1, 0, 2, -1, -6]","[1, 1]",-77051,False,True,2
"[1, 0, 2, -1, 3]","[0, 1, 1]",3877,False,True,2
"[1, 0, 2, -1, 4]","[0, 1, 1, 0]",10309,False,True,2
"[1, 0, 2, -1, 5]","[1, 1]",21861,False,True,2
"[1, 0, 2, -1, 6]","[1, 1]",40069,False,True,2
"[1, 0, 2, -1, 7]","[1, 1]",66469,False,True,2
"[1, 0, 2, -1, 8]","[1, 1]",102597,False,True,2
"[1, 0, 3, -7, 5]","[1, 1]",45401,False,True,2
"[1, 0, 3, -5, 3]","[0, 1, 1]",13257,False,True,2
"[1, 0, 3, -3, 5]","[1, 1, 0]",25961,False,True,2
"[1, 0, 3, -1, -7]","[1, 1]",-156487,False,True,2
"[1, 0, 3, -1, 3]","[0, 0, 1, 1]",1593,False,True,2
"[1, 0, 3, -1, 5]","[1, 1]",11705,False,True,2
"[1, 0, 3, -1, 6]","[1, 1, 0]",24057,False,True,2
"[1, 0, 3, -1, 7]","[1, 1, 0]",43321,False,True,2
"[1, 0, 3, -1, 8]","[1, 1]",71033,False,True,2
"[1, 0, 4, -1, -8]","[1, 1]",-299803,False,True,2
"[1, 0, 4, -1, -2]","[1, 1]",-19867,False,True,2
"[1, 0, 4, -1, 4]","[1, 1, 0, 0]",2021,False,True,2
"[1, 0, 4, -1, 5]","[1, 1, 0]",3877,False,True,2
"[1, 0, 4, -1, 7]","[1, 1]",19877,False,True,2
"[1, 0, 4, -1, 8]","[1, 1]",37093,False,True,2
"[1, 0, 4, 0, 2]","[1, 1]",2048,False,True,2
"[1, 3, -2, 5, 4]","[1, 1]",-227191,False,True,2
"[1, 3, -2, 6, -4]","[1, 1]",-142096,False,True,2
"[1, 3, -2, 7, 2]","[1, 1]",-230303,False,True,2
"[1, 3, 0, 3, -4]","[1, 1]",-82183,False,True,2
"[1, 3, 0, 7, -2]","[1, 1]",-123503,False,True,2
"[1, 3, 0, 7, 2]","[1, 1]",-129991,False,True,2
"[1, 4, -8, -5, -3]","[1, 1]",-757003,False,True,2
"[1, 4, 7, -3, -2]","[1, 1]",-90271,False,True,2
"[1, 4, 7, 5, -8]","[1, 1]",-198463,False,True,2
"[1, 4, 7, 7, -8]","[1, 1]",-358015,False,True,2
"[1, 4, 8, 7, -8]","[1, 1]",-312699,False,True,2
"[1, 5, -8, -7, -2]","[1, 1]",-374527,False,True,2
"[1, 5, 8, 2, 3]","[0, 1, 1]",32197,False,True,2
"[1, 6, -4, 4, -5]","[1, 1]",-1206704,False,True,2
"[1, 6, -3, 5, -5]","[1, 1]",-1168295,False,True,2
"[1, 6, -3, 5, 2]","[1, 1]",-564223,False,True,2
"[1, 6, -1, -1, 2]","[1, 1]",-145239,False,True,2
"[1, 6, 0, -5, -5]","[1, 1]",-644675,False,True,2
"[1, 6, 0, -1, -2]","[1, 1]",-136139,False,True,2
"[1, 6, 1, 5, -4]","[1, 1]",-758543,False,True,2
"[1, 6, 2, -5, 7]","[1, 1]",-993323,False,True,2
"[1, 6, 2, 3, -3]","[1, 1]",-334875,False,True,2
"[1, 6, 3, -3, 3]","[1, 1]",-201015,False,True,2
"[1, 6, 6, -8, 8]","[1, 1]",66560,False,True,2
"[1, 6, 7, -7, 3]","[0, 1, 1, 0, 0]",32009,False,True,2
"[1, 6, 7, -7, 4]","[1, 1]",65057,False,True,2
"[1, 6, 7, -7, 5]","[1, 1]",110425,False,True,2
"[1, 6, 7, -7, 6]","[1, 1]",169649,False,True,2
"[1, 6, 7, -7, 7]","[0, 1, 1, 0]",244265,False,True,2
"[1, 6, 7, -7, 8]","[1, 1]",335809,False,True,2
"[1, 6, 8, -4, 2]","[1, 1]",21312,False,True,2
"[1, 6, 8, -4, 3]","[1, 1]",45904,False,True,2
"[1, 6, 8, -4, 4]","[1, 1]",80896,False,True,2
"[1, 6, 8, -4, 5]","[1, 1]",127824,False,True,2
"[1, 6, 8, -4, 6]","[1, 1]",188224,False,True,2
"[1, 6, 8, -4, 7]","[1, 1]",263632,False,True,2
"[1, 6, 8, -4, 8]","[1, 1]",355584,False,True,2
"[1, 7, 1, -7, 7]","[1, 1]",-2251291,False,True,2
"[1, 7, 2, 3, -4]","[1, 1]",-1047311,False,True,2
"[1, 7, 4, -2, 4]","[1, 1]",-705568,False,True,2
"[1, 7, 4, 1, -4]","[1, 1]",-686951,False,True,2
"[1, 7, 4, 7, 2]","[1, 1]",-295823,False,True,2
"[1, 7, 5, -2, -7]","[1, 1]",-1226543,False,True,2
"[1, 7, 6, 7, -2]","[1, 1]",-629127,False,True,2
"[1, 8, -8, -2, 5]","[1, 1]",-2555056,False,True,2
"[1, 8, 7, 1, 5]","[1, 1]",-1392583,False,True,2
"[1, 8, 7, 7, -7]","[1, 1]",-5007751,False,True,2
"[1, 8, 8, -3, -2]","[1, 1]",190453,False,True,2
"[1, 8, 8, 3, -4]","[1, 1]",-977675,False,True,2
