coefficients,signature,discriminant
"[1, -7, -8, 5, 7]",[1],-1625284
"[1, -7, -8, 5, 8]",[2],-2867327
"[1, -7, -8, 6, -8]",[1],-12236944
"[1, -7, -8, 6, -7]",[1],-9747411
"[1, -7, -8, 6, -6]",[1],-7511436
"[1, -7, -8, 6, -5]",[1],-5527483
"[1, -7, -8, 6, -4]",[1],-3794016
"[1, -7, -8, 6, -3]",[1],-2309499
"[1, -7, -8, 6, -2]",[1],-1072396
"[1, -7, -8, 6, -1]",[2],-81171
"[1, -7, -8, 6, 1]","[3, 2]",1169789
"[1, -7, -8, 6, 2]",[1],1432596
"[1, -7, -8, 6, 3]","[0, 0, 1]",1455669
"[1, -7, -8, 6, 4]",[2],1240544
"[1, -7, -8, 6, 5]",[2],788757
"[1, -7, -8, 6, 7]",[3],-818659
"[1, -7, -8, 7, -8]",[1],-12342583
"[1, -7, -8, 7, -7]",[1],-9806776
"[1, -7, -8, 7, -6]",[1],-7521839
"[1, -7, -8, 7, -5]",[1],-5486236
"[1, -7, -8, 7, -4]",[1],-3698431
"[1, -7, -8, 7, -3]",[1],-2156888
"[1, -7, -8, 7, -2]","[1, 0]",-860071
"[1, -7, -8, 7, -1]",[2],193556
"[1, -7, -8, 7, 1]",[2],1577384
"[1, -7, -8, 7, 2]",[1],1910657
"[1, -7, -8, 7, 3]",[1],2006884
"[1, -7, -8, 7, 4]",[1],1867601
"[1, -7, -8, 7, 5]",[1],1494344
"[1, -7, -8, 7, 6]",[3],888649
"[1, -7, -8, 7, 8]",[3],-1013911
"[1, -7, -8, 8, -8]",[1],-12330688
"[1, -7, -8, 8, -7]",[1],-9751499
"[1, -7, -8, 8, -6]",[1],-7420492
"[1, -7, -8, 8, -5]",[1],-5336131
"[1, -7, -8, 8, -4]",[1],-3496880
"[1, -7, -8, 8, -3]",[1],-1901203
"[1, -7, -8, 8, -2]",[1],-547564
"[1, -7, -8, 8, -1]","[2, 0, 0]",565573
"[1, -7, -8, 8, 1]","[0, 2, 1, 0]",2076485
"[1, -7, -8, 8, 2]",[1],2477332
"[1, -7, -8, 8, 3]",[1],2643821
"[1, -7, -8, 8, 4]","[0, 1]",2577488
"[1, -7, -8, 8, 5]",[3],2279869
"[1, -7, -8, 8, 7]",[3],996917
"[1, -7, -7, -8, -8]",[2],-5210208
"[1, -7, -7, -8, -7]",[1],-3741247
"[1, -7, -7, -8, -6]",[1],-2545524
"[1, -7, -7, -8, -5]",[1],-1621503
"[1, -7, -7, -8, -4]",[1],-967648
"[1, -7, -7, -8, -3]","[1, 0]",-582423
"[1, -7, -7, -8, -2]",[1],-464292
"[1, -7, -7, -8, -1]","[0, 3]",-611719
"[1, -7, -7, -8, 1]","[3, 3]",-1697103
"[1, -7, -7, -8, 2]",[1],-2631988
"[1, -7, -7, -8, 3]",[1],-3826287
"[1, -7, -7, -8, 4]",[1],-5278464
"[1, -7, -7, -8, 5]",[1],-6986983
"[1, -7, -7, -8, 6]",[1],-8950308
"[1, -7, -7, -8, 7]",[1],-11166903
"[1, -7, -7, -8, 8]",[1],-13635232
"[1, -7, -7, -7, -7]",[3],-3936611
"[1, -7, -7, -7, -6]",[1],-2668172
"[1, -7, -7, -7, -5]",[1],-1668747
"[1, -7, -7, -7, -4]",[1],-936800
"[1, -7, -7, -7, -3]",[1],-470795
"[1, -7, -7, -7, -2]",[1],-269196
"[1, -7, -7, -7, -1]",[2],-330467
"[1, -7, -7, -7, 1]",[2],-1235475
"[1, -7, -7, -7, 2]",[1],-2076140
"[1, -7, -7, -7, 3]",[1],-3173531
"[1, -7, -7, -7, 4]",[1],-4526112
"[1, -7, -7, -7, 5]",[1],-6132347
"[1, -7, -7, -7, 6]",[2],-7990700
"[1, -7, -7, -7, 7]",[1],-10099635
"[1, -7, -7, -7, 8]",[1],-12457616
"[1, -7, -7, -6, -8]",[2],-5823212
"[1, -7, -7, -6, -6]",[2],-2878248
"[1, -7, -7, -6, -5]",[1],-1806023
"[1, -7, -7, -6, -4]",[1],-998588
"[1, -7, -7, -6, -3]",[1],-454407
"[1, -7, -7, -6, -2]",[1],-171944
"[1, -7, -7, -6, -1]","[0, 2]",-149663
"[1, -7, -7, -6, 1]","[1, 2]",-879503
"[1, -7, -7, -6, 2]",[1],-1628552
"[1, -7, -7, -6, 3]",[1],-2631639
"[1, -7, -7, -6, 4]",[1],-3887228
"[1, -7, -7, -6, 5]",[1],-5393783
"[1, -7, -7, -6, 6]",[1],-7149768
"[1, -7, -7, -6, 7]",[1],-9153647
"[1, -7, -7, -6, 8]",[1],-11403884
"[1, -7, -7, -5, -8]",[1],-6235308
"[1, -7, -7, -5, -7]",[2],-4564075
"[1, -7, -7, -5, -5]",[2],-2015595
"[1, -7, -7, -5, -4]",[1],-1135276
"[1, -7, -7, -5, -3]",[1],-515523
"[1, -7, -7, -5, -2]",[1],-154800
"[1, -7, -7, -5, -1]",[2],-51571
"[1, -7, -7, -5, 1]",[2],-611451
"[1, -7, -7, -5, 2]",[1],-1271488
"[1, -7, -7, -5, 3]",[1],-2182875
"[1, -7, -7, -5, 4]",[1],-3344076
"[1, -7, -7, -5, 5]",[2],-4753555
"[1, -7, -7, -5, 6]",[1],-6409776
"[1, -7, -7, -5, 7]",[1],-8311203
"[1, -7, -7, -5, 8]",[1],-10456300
"[1, -7, -7, -4, -8]",[1],-6694800
"[1, -7, -7, -4, -7]",[1],-4961351
"[1, -7, -7, -4, -6]",[2],-3490388
"[1, -7, -7, -4, -4]",[2],-1329776
"[1, -7, -7, -4, -3]",[1],-637055
"[1, -7, -7, -4, -2]",[1],-200676
"[1, -7, -7, -4, -1]","[0, 2]",-19103
"[1, -7, -7, -4, 1]",[2],-414231
"[1, -7, -7, -4, 2]",[1],-987860
"[1, -7, -7, -4, 3]",[1],-1810151
"[1, -7, -7, -4, 4]",[1],-2879568
"[1, -7, -7, -4, 5]",[1],-4194575
"[1, -7, -7, -4, 6]",[1],-5753636
"[1, -7, -7, -4, 7]",[1],-7555215
"[1, -7, -7, -4, 8]",[1],-9597776
"[1, -7, -7, -3, -8]",[1],-7185248
"[1, -7, -7, -3, -7]",[1],-5392187
"[1, -7, -7, -3, -6]",[1],-3858924
"[1, -7, -7, -3, -5]",[2],-2583923
"[1, -7, -7, -3, -3]",[2],-802563
"[1, -7, -7, -3, -2]",[1],-293132
"[1, -7, -7, -3, -1]","[0, 2]",-35819
"[1, -7, -7, -3, 1]",[2],-271403
"[1, -7, -7, -3, 2]",[1],-761228
"[1, -7, -7, -3, 3]",[1],-1497027
"[1, -7, -7, -3, 4]",[2],-2477264
"[1, -7, -7, -3, 5]",[1],-3700403
"[1, -7, -7, -3, 6]",[1],-5164908
"[1, -7, -7, -3, 7]",[2],-6869243
"[1, -7, -7, -3, 8]",[1],-8811872
"[1, -7, -7, -2, -8]",[1],-7690860
"[1, -7, -7, -2, -7]",[1],-5840791
"[1, -7, -7, -2, -6]",[1],-4247832
"[1, -7, -7, -2, -5]",[1],-2910447
"[1, -7, -7, -2, -4]",[2],-1827100
"[1, -7, -7, -2, -2]",[2],-416376
"[1, -7, -7, -2, -1]","[1, 2]",-85927
"[1, -7, -7, -2, 1]",[2],-167175
"[1, -7, -7, -2, 2]",[1],-575800
"[1, -7, -7, -2, 3]",[1],-1227711
"[1, -7, -7, -2, 4]",[1],-2121372
"[1, -7, -7, -2, 5]",[1],-3255247
"[1, -7, -7, -2, 6]",[1],-4627800
"[1, -7, -7, -2, 7]",[1],-6237495
"[1, -7, -7, -2, 8]",[1],-8082796
"[1, -7, -7, -1, -8]",[1],-8196492
"[1, -7, -7, -1, -7]",[1],-6292019
"[1, -7, -7, -1, -6]",[1],-4641968
"[1, -7, -7, -1, -5]",[1],-3244803
"[1, -7, -7, -1, -4]",[1],-2098988
"[1, -7, -7, -1, -3]",[2],-1202987
"[1, -7, -7, -1, -1]","[3, 3]",-154283
"[1, -7, -7, -1, 1]",[2],-86403
"[1, -7, -7, -1, 2]",[1],-416432
"[1, -7, -7, -1, 3]",[2],-987059
"[1, -7, -7, -1, 4]",[1],-1796748
"[1, -7, -7, -1, 5]",[1],-2843963
"[1, -7, -7, -1, 6]",[1],-4127168
"[1, -7, -7, -1, 7]","[0, 1]",-5644827
"[1, -7, -7, -1, 8]",[1],-7395404
"[1, -7, -7, 0, -8]",[1],-8687648
