coefficients,signature,discriminant,number,type_i,source,type_II,gal_group,type_I
"[1, 2, -12, -12, 7]","[1, 1]",3201232,2,False,df16,True,S_4,
"[1, -4, -2, 13, 13]","[1, 1]",112229,2,False,df16,True,S_4,
"[1, 2, 14, 14, -4]","[1, 1]",-4322864,2,False,df16,True,S_4,
"[1, 0, -7, 13, -5]","[1, 1]",-68399,2,False,df16,False,S_4,
"[1, 0, -14, 1, -5]","[1, 1]",-3711451,2,False,df16,True,S_4,
"[1, 4, 1, -7, 12]","[1, 1]",491161,2,False,df16,True,S_4,
"[1, -12, -2, 10, -4]","[1, 1]",-4343216,2,False,df16,True,S_4,
"[1, -2, 1, -1, 5]","[1, 1]",23297,2,False,df16,True,S_4,
"[1, -2, 12, -12, -14]","[1, 1]",-8841920,2,False,df16,True,S_4,
"[1, 7, 11, -7, -14]","[1, 1]",75348,2,False,df32,False,S_4,
"[1, -1, 1, -16, -11]","[1, 1]",-2804503,2,False,df32,False,S_4,
"[1, 0, 22, 1, 7]","[1, 1]",23268389,2,False,df32,True,S_4,
"[1, 0, -28, 1, -25]","[1, 1]",-312393819,2,False,df32,True,S_4,
"[1, -8, -17, -29, -19]","[1, 1]",-40135223,2,False,df32,False,S_4,
"[1, -12, 4, 17, 4]","[1, 1]",13150277,2,False,df32,False,S_4,
"[1, 2, -20, -20, 7]","[1, 1]",32553680,2,False,df32,True,S_4,
"[1, -8, 14, 9, 17]","[1, 1]",3508645,2,False,df32,True,S_4,
"[1, -6, 11, -5, -12]","[1, 1]",-332831,2,False,df32,True,S_4,
"[1, -6, 11, -7, 13]","[1, 1]",336145,2,False,df32,True,S_4,
"[1, -6, 2, 20, -19]","[1, 1]",91344,2,False,df32,True,S_4,
"[1, -5, -20, -54, -59]","[1, 1]",-213727531,2,False,df64,False,S_4,
"[1, 0, 4, 0, 2]","[1, 1]",2048,2,,df8,False,C_4,False
