coefficients,signature,discriminant
"[1, -22, -45, 53, 31]",[2],30151376577
"[1, 25, -62, 38, -25]",[1],-7154885419
"[1, -24, 17, 26, -50]",[1],-12453934688
"[1, 45, 36, -53, -50]",[1],-30644652623
"[1, -10, -52, 40, 16]",[1],6337843200
"[1, 25, -47, 38, -45]",[1],-17292625679
"[1, 29, -11, 23, 29]",[1],-21876049211
"[1, -5, 0, -36, -46]",[1],-193489708
"[1, -27, -34, 57, 59]",[1],13952260832
"[1, 4, -55, -33, -45]",[1],-8336119095
"[1, 44, 4, -26, -40]",[1],-147222042544
"[1, -26, -53, -59, -40]",[1],-6401300927
"[1, -9, 36, 39, -1]",[2],-396351076
"[1, -31, -18, 60, -60]",[1],-106170024240
"[1, -14, 4, -37, -18]",[1],-989464811
"[1, -9, -5, -39, -58]",[1],-1066588396
"[1, 6, -50, -50, 59]",[1],10185950272
"[1, 9, 23, -37, -33]",[1],-255560339
"[1, 10, -48, -1, -51]",[1],-10020855011
"[1, 13, -36, -17, 36]",[1],1651208585
"[1, -16, 60, -22, 56]",[1],-1002373808
"[1, 39, -62, -6, -64]",[1],-450977473696
"[1, 29, 1, -1, 48]",[1],-43699926412
"[1, -50, 35, -20, 5]",[1],-1166978000
"[1, -16, -10, 15, -63]",[1],-9197877915
"[1, -60, 47, 52, 22]",[1],-251857659104
"[1, 2, 0, -61, -45]",[1],-339324835
"[1, 14, -12, -24, 29]",[1],-382161712
"[1, -28, 17, -14, -3]",[1],-522419184
"[1, -39, -61, 28, -30]",[1],-169323250436
"[1, 4, -53, -9, 37]",[1],4728440465
"[1, 26, -15, 14, -13]",[1],-1694414912
"[1, 2, 4, 18, -53]",[1],-68015104
"[1, 11, -9, -5, 39]",[1],-751282979
"[1, 54, -7, 19, 23]",[1],-136250283231
"[1, -51, 12, 2, -35]",[1],-215673042875
"[1, 9, 17, -28, -16]",[1],-16620528
"[1, -4, -11, -15, 58]",[1],-200793319
"[1, 45, -42, 47, -22]",[1],-28399368703
"[1, 18, 61, -64, 45]",[1],-3787274416
"[1, 31, 46, -24, -64]",[1],-25263456000
"[1, 61, 4, 44, 40]",[1],-645572025280
"[1, 2, 56, 18, 25]",[1],3260405056
"[1, 44, -34, 13, 35]",[1],-150556333147
"[1, -20, 46, -62, -56]",[1],-16644647344
"[1, 18, -2, 46, 8]",[1],-2766336176
"[1, 29, -38, -32, 55]",[1],-19727370043
"[1, 41, 47, -15, -14]",[1],8210878624
"[1, -49, 58, -16, 19]",[1],-47872575187
"[1, 60, -17, 62, -37]",[1],-543202153328
"[1, 31, -2, 17, 55]",[1],-78229472968
"[1, 18, 59, 54, -34]",[1],-1194658096
"[1, 47, -2, -42, 11]",[1],16324123677
"[1, -41, -35, 41, 35]",[3],-1057597963
"[1, -27, -26, 61, -26]",[1],-6596598247
"[1, -33, 50, 18, -21]",[1],9687155325
"[1, 2, 43, 24, 10]",[1],311475200
"[1, 51, -37, -46, 24]",[1],65767110868
"[1, 34, 64, 42, -28]",[1],-36727538736
"[1, 41, -56, 36, 41]",[1],-223088646987
"[1, 44, 50, -16, -11]",[1],13266412800
"[1, -26, -34, 17, 40]",[1],-10476493731
"[1, -45, 42, -33, -44]",[1],-266290926143
"[1, -62, -26, -48, -14]",[1],-109593496000
"[1, -14, 32, 58, -17]",[1],846879744
"[1, 32, -48, 57, 41]",[1],-140765451835
"[1, -47, -7, 4, 60]",[1],-478775361968
"[1, 27, 23, 31, -15]",[1],-7228631363
"[1, 63, -33, 52, -29]",[1],-290833350431
"[1, -35, -56, 9, -62]",[1],-286618223767
"[1, -22, 53, 42, 54]",[1],-25421126544
"[1, 41, -24, -28, 44]",[1],-108557805488
"[1, -8, 18, -42, 48]",[1],-24451632
"[1, 59, -38, 61, 48]",[1],-1373866997591
"[1, -25, 34, -32, -2]",[1],-1339887916
"[1, 59, 62, -56, 54]",[1],-1498227909324
"[1, 16, -2, -5, -30]",[1],-1672071115
"[1, 50, 26, -62, 23]",[1],-49065406912
"[1, -60, 17, 35, -57]",[1],-935260414343
"[1, 7, -56, -25, -50]",[1],-13400032975
"[1, 38, -43, -27, -51]",[1],-254644002327
"[1, -7, 34, 58, -34]",[1],-2954689900
"[1, 20, -10, 58, -17]",[1],-6820501680
"[1, -49, 41, -40, 31]",[1],-78421295943
"[1, -59, 40, 11, -32]",[1],-236242931863
"[1, -3, -63, 4, 32]",[1],7896212816
"[1, 61, 29, -24, -19]",[1],-56398682807
"[1, 56, -23, -29, -53]",[1],-878020973983
"[1, 39, 17, -4, 24]",[1],-36157196432
"[1, 40, -17, -15, 8]",[1],-955208103
"[1, -22, -42, -30, -19]",[1],-1214887936
"[1, 50, -11, 31, -51]",[1],-424969562279
"[1, -10, -3, -19, 16]",[1],-147431151
"[1, 21, -64, 18, 14]",[1],4378568948
"[1, -8, 51, -5, -9]",[1],-623489863
"[1, 12, -47, 6, -8]",[1],-1023492672
"[1, 63, 34, 12, 6]",[1],-8680435500
"[1, 64, -50, 4, 9]",[1],-28636076800
"[1, 44, 47, -46, 35]",[1],-199457787248
"[1, 8, -7, 26, -51]",[1],-503914928
"[1, -55, -64, -16, -37]",[1],-379809328451
"[1, -11, 52, 30, 53]",[1],5029207125
"[1, 3, 63, -49, 5]",[1],-1319482075
"[1, -53, -50, 6, -48]",[1],-651480344928
"[1, -59, -38, 1, -10]",[1],-44079861023
"[1, -23, -44, 22, 43]",[3],3557646293
"[1, -24, 59, 13, -57]",[1],7558163449
"[1, 31, -16, 9, -44]",[1],-49883268383
"[1, -45, 18, -41, -57]",[1],-429888460032
"[1, -52, 6, -23, 1]",[2],-6591224587
"[1, 56, 7, -53, 17]",[1],7422046793
"[1, 43, 51, 56, 16]",[1],-12897122944
"[1, -52, 0, 16, -12]",[1],-26053210112
"[1, 29, -52, 49, 28]",[1],-52654559391
"[1, -22, 15, 49, -32]",[1],3280701497
"[1, -52, 37, -1, 14]",[2],-41921067575
"[1, -31, 30, 28, 61]",[1],-103535018563
"[1, 2, 56, 61, -25]",[1],-6598916323
"[1, 14, -26, -16, -31]",[1],-3256764848
"[1, -50, 3, 51, -46]",[1],-270431751271
"[1, 43, -63, -19, -34]",[1],-259255843776
"[1, -34, -14, -53, 60]",[1],-197691962387
"[1, -3, -60, -43, 18]",[1],4009001121
"[1, -17, -38, -51, -39]",[1],-1514350188
"[1, 57, -52, 15, 55]",[1],-984408784380
"[1, -14, 45, -63, -50]",[1],-1345052039
"[1, 47, 30, 15, -51]",[1],-348136080948
"[1, -27, 54, -42, -57]",[1],-44150838507
"[1, 3, 39, 17, 23]",[1],567351293
"[1, -50, 45, 58, -12]",[1],158551718000
"[1, -21, -54, 12, 3]",[1],2030926797
"[1, -20, -46, -59, -3]",[1],-4882151963
"[1, 41, -7, 48, -1]",[2],-30640760951
"[1, 35, -39, -56, 62]",[1],-3595457700
"[1, 38, 50, -59, 4]",[1],35450761725
"[1, -43, -3, -46, 61]",[1],-392684821911
"[1, 3, -39, 32, -17]",[1],-279923495
"[1, 28, -12, 56, 36]",[1],-50766872576
"[1, 62, -5, -14, 32]",[1],-398967790768
"[1, -3, -15, -22, -61]",[1],-210688375
"[1, -8, -32, 29, -49]",[1],-3280649611
"[1, 58, -32, 35, -52]",[1],-709142881675
"[1, -19, -14, -48, -50]",[1],-9551072812
"[1, 64, -21, 48, 20]",[1],-396410001088
"[1, 31, 3, 49, 51]",[1],-75155618875
"[1, 32, 50, 64, 33]",[1],-7079657472
"[1, 6, -13, 8, -24]",[1],-70674176
"[1, -50, -28, 30, -24]",[1],-139611313200
"[1, 28, 37, -15, 57]",[1],-57395175399
"[1, -26, 37, 48, 2]",[1],6288965568
"[1, -56, -2, -7, -49]",[1],-637946928283
"[1, -58, -11, -40, -59]",[1],-1040421003568
"[1, 51, 11, -50, -43]",[1],-206096144487
"[1, 4, -46, -17, 20]",[1],1758124597
"[1, -43, 17, 23, 17]",[1],-31146000203
"[1, 28, 31, 13, -16]",[1],-4296226031
"[1, 1, 6, -54, -31]",[1],-332476123
"[1, 28, 29, 64, -42]",[1],-64564075040
"[1, -7, 13, 6, -7]",[1],-731271
"[1, -17, -60, 37, -8]",[1],-2406715551
"[1, -6, -7, -7, 62]",[1],-288856599
"[1, -53, 50, -46, 35]",[1],-124513143715
"[1, 3, -33, -9, 45]",[1],681070437
"[1, 63, -39, 3, 42]",[1],-771947737164
"[1, -54, -8, 43, 27]",[1],-92659201315
"[1, 10, 42, -54, 53]",[1],3280831232
"[1, 38, -54, -40, -48]",[1],-300060433408
"[1, -64, -5, 10, -56]",[1],-1441671486688
"[1, 37, -61, 14, 1]",[2],973014921
"[1, 39, 30, -3, -16]",[1],-10491620575
"[1, 25, -32, 2, 22]",[1],-4877006956
"[1, 38, -16, -20, 54]",[1],-152499413184
"[1, 63, 10, 32, 8]",[1],-47825221568
"[1, -42, 38, -40, -1]",[2],-15018542256
"[1, 23, -43, 55, 41]",[2],-47309981803
"[1, 60, -3, -46, -34]",[1],-338080822816
"[1, -63, -26, 16, -20]",[1],-215237732272
"[1, 19, -22, -51, 34]",[1],5947938121
"[1, -40, 43, -59, 48]",[1],-74180557127
"[1, -39, 51, 51, -31]",[1],81269746997
"[1, 9, 18, 13, -35]",[1],-55825268
"[1, 26, -12, 32, 14]",[1],-6938628800
"[1, 2, 52, 20, 44]",[1],3989392384
"[1, 32, -64, 14, 44]",[1],-44464657328
"[1, 49, 3, 57, -54]",[1],-556313824656
"[1, 39, 40, 46, -43]",[1],-175523622347
"[1, 17, -32, 34, 40]",[1],-10659077200
"[1, 57, 6, 15, -9]",[1],-27942175368
"[1, 56, 1, -42, -61]",[1],-922752047952
"[1, -36, -41, -51, -24]",[1],-13673840847
"[1, 52, 9, -34, 19]",[1],-62865140368
