coefficients,signature,discriminant
"[1, 8, 15, 16, 12]",[1],-640832
"[1, -2, 9, 0, 2]",[1],166208
"[1, -8, 14, -6, -11]",[1],-2163632
"[1, 16, -9, 15, 11]",[1],-445065943
"[1, -6, -2, -8, -10]",[1],-5332928
"[1, 3, 11, 1, -15]",[2],-4229291
"[1, -12, -2, 12, 2]","[4, 2]",11186432
"[1, -13, 11, -3, 5]",[2],-11826875
"[1, 14, -16, 9, -14]",[1],-229391627
"[1, 15, 9, -2, 16]",[1],-298459148
"[1, -4, 14, 5, -7]",[1],-5233979
"[1, 9, -6, -5, 3]",[1],123336
"[1, -9, 9, -14, 7]",[1],-3414551
"[1, 15, 10, -6, 10]",[1],-137237292
"[1, 0, 1, 9, 4]",[1],-116415
"[1, -16, 3, -4, -13]",[1],-294479888
"[1, 6, 0, -14, -2]",[1],1340752
"[1, 5, 0, 16, -14]",[1],-10300396
"[1, -12, -10, 3, -6]",[1],-39097563
"[1, 7, 8, 15, 14]",[2],-3786191
"[1, 15, 15, -1, 16]",[1],-276931436
"[1, 13, 6, -12, 15]",[1],-159310395
"[1, 6, 2, -8, 13]",[1],-2460464
"[1, 9, 10, 15, -1]",[2],-5856808
"[1, 2, -3, 9, -5]","[2, 1]",-208463
"[1, 15, -10, 14, -4]",[1],-29528976
"[1, -3, 14, 9, -8]",[2],-10074735
"[1, -12, 2, 15, -14]",[1],-60877323
"[1, 11, -6, 12, 16]",[1],-180982976
"[1, -11, -11, 14, -10]",[1],-90143224
"[1, 8, -14, -4, -2]",[1],-4999936
"[1, -7, 5, -7, -16]",[1],-14115488
"[1, -14, 12, 1, -3]",[1],-2044723
"[1, 2, -5, -11, 12]",[2],-240887
"[1, 16, 3, -2, -12]",[1],-233068576
"[1, -14, 5, 11, -5]",[2],4052169
"[1, -1, 6, 1, -8]","[3, 2]",-549103
"[1, -10, 1, -13, -6]","[0, 1]",-20184439
"[1, 9, 0, -2, 2]",[1],-673708
"[1, -4, 12, -14, 8]",[1],34128
"[1, 13, 14, 12, 2]",[1],-2631884
"[1, -10, 16, -1, 15]",[1],-23416531
"[1, -6, -13, -3, -12]",[1],-23042631
"[1, 12, -15, 13, -10]",[2],-42237031
"[1, -9, 13, 3, 3]",[1],-1474251
"[1, 14, 7, 3, -12]",[1],-131282199
"[1, 11, -2, -15, -2]",[2],15361193
"[1, 10, 5, 7, 7]",[1],-8268519
"[1, -10, -2, 14, -13]",[1],-40508864
"[1, 8, -12, 8, 11]",[1],-41964800
"[1, 8, 3, 13, 10]",[1],-11522407
"[1, -4, 11, 5, 8]",[1],2928769
"[1, 12, -6, -9, -14]",[1],-153307211
"[1, 1, -4, 6, -15]",[1],-1390611
"[1, -16, 9, 9, -6]",[1],-5670783
"[1, -9, 8, -10, -12]",[1],-24421472
"[1, 5, -3, 7, 13]",[2],-7018267
"[1, -3, -5, -12, -14]",[1],-2718180
"[1, 9, 16, -5, -4]","[0, 1, 0]",1326577
"[1, 0, 7, -2, 7]",[1],71696
"[1, 8, 2, -9, 14]",[1],-15761531
"[1, 0, -13, 8, -2]",[1],-311072
"[1, 1, -2, 10, 10]",[1],-651820
"[1, 1, -9, 14, -1]",[2],-679671
"[1, 3, -2, -10, 3]",[1],-79075
"[1, 10, 12, -2, 9]",[1],-13832896
"[1, 16, -7, -15, -7]",[1],-93117887
"[1, 3, 6, 2, -1]",[3],-6043
"[1, -4, -12, 3, 4]",[2],1739029
"[1, 15, 5, 5, -13]",[1],-224824707
"[1, -2, -16, -6, -3]",[1],-2261184
"[1, -5, 5, 11, 9]",[1],1034757
"[1, 14, -8, 4, -14]",[1],-232447168
"[1, 11, 10, 14, -13]",[1],-78903347
"[1, 14, 8, -11, -15]",[1],-107376051
"[1, 14, 4, 11, -4]",[1],-36055643
"[1, -2, 10, 10, -10]",[1],-5889200
"[1, 3, -9, -6, 2]",[1],594536
"[1, 0, -4, 14, 1]",[2],-1097648
"[1, 4, -3, -7, 9]",[2],-288023
"[1, -3, -15, -15, -9]",[2],-1569051
"[1, 11, -1, -11, -7]",[1],-13389067
"[1, -11, -15, -2, 2]",[2],-26168
